"Sr. No.","State","Work","Vendor Name","IDA","Hon'ble Member Of Parliament","Expenditure Date","Constituency","Work Status","Work Id","Fund Disbursed Amount ( ₹ )"
"2755","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","20-Jul-2025","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138916","86,003"
"2756","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","31-Dec-2024","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138936","1,50,000"
"2757","Madhya Pradesh","Purchase of books for public libraries/ digitization of library books","DISTRICT EDUCATION OFFICER NEEMUCH","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","06-Dec-2024","MANDSOUR","Payment Success","WS/MP356/2024-2025/137881","50,000"
"2758","Madhya Pradesh","Purchase of books for public libraries/ digitization of library books","DISTRICT EDUCATION OFFICER NEEMUCH","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","22-Apr-2025","MANDSOUR","Payment Success","WS/MP356/2024-2025/137881","50,000"
"2759","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","RAJESH KUMAR PAL","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","26-Dec-2024","UNNAO","Payment Success","WS/MP465/2024-2025/137489","21,45,797"
"2760","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","GANGA CONSTRUCTION","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","17-Jan-2025","UNNAO","Payment Success","WS/MP465/2024-2025/137495","5,17,653"
"2761","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","MS SHOBHNATH VERMA","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","14-Jun-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/140413","7,78,603"
"2762","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","MS SHOBHNATH VERMA","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","27-Jan-2026","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/140413","2,45,330"
"2763","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","MS SHOBHNATH VERMA","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","31-Jan-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135932","2,74,344"
"2764","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","MS SHOBHNATH VERMA","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","07-Oct-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135932","60,509"
"2765","West Bengal","Construction of culverts and bridges","PANKAJ SARKAR","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","20-Aug-2025","KRISHNANAGAR","Payment Success","WS/MP823/2024-2025/139548","33,94,368"
"2766","West Bengal","Construction of rooms and halls in school and colleges","DURGA DAS ROY","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","13-Jan-2026","KRISHNANAGAR","Payment Success","WS/MP823/2024-2025/139556","19,38,436"
"2767","West Bengal","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","MS MONDAL ENTERPISE","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","11-Mar-2025","KRISHNANAGAR","Payment Success","WS/MP823/2024-2025/139972","99,160"
"2768","West Bengal","Construction of culverts and bridges","ASRAFUL BAIDYA","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","24-Feb-2025","KRISHNANAGAR","Payment Success","WS/MP823/2024-2025/139552","3,99,842"
"2769","West Bengal","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","SWAGATA DAS","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","02-Jul-2025","KRISHNANAGAR","Payment Success","WS/MP823/2024-2025/139965","9,47,173"
"2770","West Bengal","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","SWAGATA DAS","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","18-Sep-2025","KRISHNANAGAR","Payment Success","WS/MP823/2024-2025/139965","10,80,765"
"2771","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","SM ADIL CONSTRUCTION","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","24-Sep-2025","KRISHNANAGAR","Payment Success","WS/MP823/2024-2025/139553","16,45,589"
"2772","West Bengal","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Sarkar Enterprise","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","11-Jun-2025","KRISHNANAGAR","Payment Success","WS/MP823/2024-2025/139964","18,53,597"
"2773","West Bengal","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Sarkar Enterprise","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","19-Jan-2026","KRISHNANAGAR","Payment Success","WS/MP823/2024-2025/139964","10,79,693"
"2774","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","11-Jun-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137070","4,00,000"
"2775","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","23-May-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137079","4,00,000"
"2776","Uttar Pradesh","Lighting of public spaces","Lakshya Contruction","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","AJENDRA SINGH LODHI","04-Dec-2025","HAMIRPUR_UP","Payment Success","WS/MP18219/2025-2026/137969","3,22,531"
"2777","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","05-Jan-2026","ELURU","Payment Success","WS/MP18007/2025-2026/137050","4,00,000"
"2778","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","04-Jun-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137053","4,00,000"
"2779","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","25-May-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137062","4,00,000"
"2780","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","31-May-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137073","4,00,000"
"2781","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","24-May-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137091","4,00,000"
"2782","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","24-May-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137093","4,00,000"
"2783","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","MS SHOBHNATH VERMA","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","25-Feb-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/136938","3,35,867"
"2784","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","MS SHOBHNATH VERMA","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","07-Oct-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/136938","1,00,563"
"2785","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","22-Jun-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/140423","2,53,213"
"2786","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","07-Oct-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/140423","1,39,897"
"2787","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","RAMMORE VERMA","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","30-Mar-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/140412","2,36,592"
"2788","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","RAMMORE VERMA","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","22-Aug-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/140412","77,928"
"2789","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","MS SHOBHNATH VERMA","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","25-Feb-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/140408","5,71,906"
"2790","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","20-Jul-2025","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138936","86,003"
"2791","Punjab","Installing community drinking water plants","SHREE BALAJI ENTERPRISES","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","20-Sep-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137634","84,500"
"2792","Punjab","Street lights","R J CIVIL CONTRACTOR","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","25-Sep-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137635","2,00,000"
"2793","Punjab","Construction of rooms and halls in school and colleges","R J CIVIL CONTRACTOR","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","17-Sep-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137641","82,533"
"2794","Punjab","Construction of rooms and halls in school and colleges","R J CIVIL CONTRACTOR","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","17-Sep-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137641","2,16,622"
"2795","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","31-Dec-2024","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138924","1,50,000"
"2796","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","20-Jul-2025","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138924","86,003"
"2797","Punjab","Purchase of mobile water tankers","SHEIKH FARID AGRO TECH","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","19-Aug-2025","FARIDKOT(SC)","Payment Success","WS/MP18152/2025-2026/140032","2,00,000"
"2798","Punjab","Providing drains and gutters for public drainage","Shri Guru Nanak Interlocking Cement Tile","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","14-Aug-2025","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/140064","1,85,250"
"2799","West Bengal","Lighting of public spaces","NATIONAL ENTERPRISE","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Smt Sajda Ahmed","07-Jan-2025","ULUBERIA","Payment Success","WS/MP829/2024-2025/141025","1,49,712"
"2800","West Bengal","Installing tube-wells and borewells","ASHOK JANA","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Smt Sajda Ahmed","12-Dec-2024","ULUBERIA","Payment Success","WS/MP829/2024-2025/141466","1,29,039"
"2801","Madhya Pradesh","Purchase of mobile water tankers","MAHALAXMI INDUSTRIES","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","18-Nov-2024","DAMOH","Payment Success","WS/MP18101/2024-2025/141647","1,50,000"
"2802","Madhya Pradesh","Purchase of mobile water tankers","MAHALAXMI INDUSTRIES","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","15-Jan-2025","DAMOH","Payment Success","WS/MP18101/2024-2025/141647","48,724"
"2803","Madhya Pradesh","Purchase of mobile water tankers","MAHALAXMI INDUSTRIES","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","18-Nov-2024","DAMOH","Payment Success","WS/MP18101/2024-2025/141651","1,50,000"
"2804","Madhya Pradesh","Purchase of mobile water tankers","MAHALAXMI INDUSTRIES","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","18-Nov-2024","DAMOH","Payment Success","WS/MP18101/2024-2025/141629","1,50,000"
"2805","Madhya Pradesh","Purchase of mobile water tankers","MAHALAXMI INDUSTRIES","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","15-Jan-2025","DAMOH","Payment Success","WS/MP18101/2024-2025/141629","48,724"
"2806","Madhya Pradesh","Purchase of mobile water tankers","MAHALAXMI INDUSTRIES","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","18-Nov-2024","DAMOH","Payment Success","WS/MP18101/2024-2025/141630","1,50,000"
"2807","Madhya Pradesh","Purchase of mobile water tankers","MAHALAXMI INDUSTRIES","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","15-Jan-2025","DAMOH","Payment Success","WS/MP18101/2024-2025/141630","48,724"
"2808","Odisha","Purchase of IT systems, including hardware and software for educational purposes","Geetanjali Traders","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","08-May-2025","SUNDARGARH (ST)","Payment Success","WS/MP370/2024-2025/140200","4,80,000"
"2809","Uttar Pradesh","Lighting of public spaces","shyam swaroop manufacturere","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","13-Jul-2025","JALAUN(SC)","Payment Success","WS/MP18221/2025-2026/140855","1,45,765"
"2810","Uttar Pradesh","Lighting of public spaces","shyam swaroop manufacturere","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","12-Jul-2025","JALAUN(SC)","Payment Success","WS/MP18221/2025-2026/140857","1,45,765"
"2811","Uttar Pradesh","Lighting of public spaces","shyam swaroop manufacturere","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","12-Jul-2025","JALAUN(SC)","Payment Success","WS/MP18221/2025-2026/140864","1,45,765"
"2812","Uttar Pradesh","Lighting of public spaces","shyam swaroop manufacturere","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","21-Sep-2025","JALAUN(SC)","Payment Success","WS/MP18221/2025-2026/140869","1,45,765"
"2813","Uttar Pradesh","Lighting of public spaces","shyam swaroop manufacturere","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","21-Sep-2025","JALAUN(SC)","Payment Success","WS/MP18221/2025-2026/140870","1,45,765"
"2814","Uttar Pradesh","Lighting of public spaces","shyam swaroop manufacturere","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","13-Jul-2025","JALAUN(SC)","Payment Success","WS/MP18221/2025-2026/140879","1,45,765"
"2815","Uttar Pradesh","Lighting of public spaces","shyam swaroop manufacturere","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","21-Sep-2025","JALAUN(SC)","Payment Success","WS/MP18221/2025-2026/140881","1,45,765"
"2816","Uttar Pradesh","Lighting of public spaces","shyam swaroop manufacturere","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","14-Jul-2025","JALAUN(SC)","Payment Success","WS/MP18221/2025-2026/140898","1,45,765"
"2817","Uttar Pradesh","Lighting of public spaces","shyam swaroop manufacturere","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","14-Jul-2025","JALAUN(SC)","Payment Success","WS/MP18221/2025-2026/140899","1,45,765"
"2818","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","BHARDWAJ CONTRACTOR","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","13-Jan-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/138087","1,000"
"2819","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","BHARDWAJ CONTRACTOR","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","13-Jan-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/138087","3,51,549"
"2820","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","BHARDWAJ CONTRACTOR","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","13-Jan-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/138087","1,98,444"
"2821","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","VIKAS ADHIKARI P S KATHOOMAR","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","13-Jan-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/138087","1,000"
"2822","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","BHARDWAJ CONTRACTOR","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","16-Jun-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/142585","2,47,048"
"2823","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","VIKAS ADHIKARI P S KATHOOMAR","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","16-Jun-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/142585","1,500"
"2824","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","Santaram Saini","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","06-Jul-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/142585","3,705"
"2825","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","Bhajan Lal Saini","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","06-Jul-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/142585","3,705"
"2826","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","Vikram Singh","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","06-Jul-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/142585","3,705"
"2827","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","09-Dec-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137085","4,00,000"
"2828","Uttar Pradesh","Lighting of public spaces","Lakshya Contruction","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","AJENDRA SINGH LODHI","04-Dec-2025","HAMIRPUR_UP","Payment Success","WS/MP18219/2025-2026/137962","3,22,531"
"2829","Punjab","Providing drains and gutters for public drainage","Sajal Bricks Company","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","25-May-2025","BHATINDA","Payment Success","WS/MP716/2024-2025/141390","35,400"
